cell_token,level,center_lat,center_lng,id
464cec,9,55.52335440359678,10.052809323617122,5065683165629120512
464cf4,9,55.69724697737402,10.11917121168195,5065691961722142720
464cfc,9,55.67610168038567,10.370443103751432,5065700757815164928
464d04,9,55.65438171778115,10.622150667615411,5065709553908187136
464d0c,9,55.63208410717276,10.874281090990346,5065718350001209344
464d14,9,55.45888165206421,10.803196209571693,5065727146094231552
464d19,10,55.432182207478405,10.597877945583956,5065732643652370432
464d1f,10,55.44304097867555,10.472899431877805,5065739240722137088
464d24,9,55.307798077911755,10.48386492649009,5065744738280275968
464d2c,9,55.13495025169255,10.415821854663639,5065753534373298176
464d34,9,55.113352411715496,10.663282647547286,5065762330466320384
464d3c,9,55.285969584810864,10.732867148512193,5065771126559342592
464d44,9,55.263572158433476,10.982285013960807,5065779922652364800
464d4c,9,55.09119136722462,10.911161732248281,5065788718745387008
464d54,9,55.06846429429238,11.159446781123089,5065797514838409216
464d59,10,55.19172443594569,11.276289566264051,5065803012396548096
464d5b,10,55.20332170005961,11.151472966111953,5065805211419803648
464d5d,10,55.28949447862741,11.187802463594688,5065807410443059200
464d5f,10,55.27783562624755,11.313004497247231,5065809609466314752
464d64,9,55.41303117456988,11.305539436348118,5065815107024453632
464d6c,9,55.43624519329566,11.054167775645595,5065823903117475840
464d71,10,55.56014383434504,11.171684477813319,5065829400675614720
464d75,10,55.6582800124936,11.081835319579,5065833798722125824
464d77,10,55.64666449826735,11.208402860480403,5065835997745381376
464d79,10,55.634902586563044,11.335068619840744,5065838196768636928
464d7b,10,55.54844415996467,11.29795693077712,5065840395791892480
464d7f,10,55.622993929780705,11.46183095451619,5065844793838403584
464d84,9,55.75873784219953,11.454775916227515,5065850291396542464
464d93,10,55.99344440484179,11.357264788336007,5065866784070959104
464d97,10,55.918448113937835,11.191987837995542,5065871182117470208
464d99,10,55.831655731460074,11.155072423915904,5065873381140725760
464d9d,10,55.73325547469723,11.245318582114713,5065877779187236864
464d9f,10,55.7449328351811,11.118355416410246,5065879978210492416
464da4,9,55.80557237703899,10.94613327308285,5065885475768631296
464dab,10,55.79017802479369,10.611513720726839,5065893172350025728
464dad,10,55.87714227409103,10.646636565963266,5065895371373281280
464db1,10,55.952966198319146,10.809305673466831,5065899769419792384
464db3,10,55.96417736676912,10.68194999141697,5065901968443047936
